Date,Open,High,Low,Close,Adj Close,Volume
2018-09-18,0.241900,0.242550,0.239950,0.241900,0.241900,2637
2018-09-19,0.242200,0.243600,0.238450,0.242200,0.242200,1933
2018-09-20,0.246650,0.252000,0.241150,0.246650,0.246650,2747
2018-09-21,0.247350,0.248050,0.244050,0.247350,0.247350,3382
2018-09-23,null,null,null,null,null,null
2018-09-24,0.244100,0.248750,0.244000,0.244100,0.244100,6483
2018-09-25,0.245200,0.245700,0.241450,0.245200,0.245200,7936
2018-09-26,0.248400,0.249350,0.244300,0.248400,0.248400,29009
2018-09-27,0.250500,0.252050,0.246650,0.250500,0.250500,8091
2018-09-28,0.249750,0.250000,0.247500,0.249750,0.249750,7261
2018-09-30,null,null,null,null,null,null
2018-10-01,0.248750,0.249100,0.245600,0.248750,0.248750,5712
2018-10-02,0.254250,0.255400,0.248800,0.254250,0.254250,3093
2018-10-03,0.255700,0.260950,0.253050,0.255700,0.255700,3865
2018-10-04,0.256150,0.257550,0.253400,0.256150,0.256150,8037
2018-10-05,0.258450,0.260950,0.256350,0.258450,0.258450,5560
2018-10-07,null,null,null,null,null,null
2018-10-08,0.265650,0.272000,0.261000,0.265650,0.265650,6714
2018-10-09,0.269550,0.269750,0.263600,0.269550,0.269550,10155
2018-10-10,0.265750,0.271050,0.265050,0.265750,0.265750,7761
2018-10-11,0.265000,0.269500,0.264000,0.265000,0.265000,6571
2018-10-12,0.265250,0.267300,0.264000,0.265250,0.265250,3349
2018-10-14,null,null,null,null,null,null
2018-10-15,0.267850,0.269050,0.264400,0.267850,0.267850,310
2018-10-16,0.268100,0.270700,0.267800,0.268100,0.268100,4289
2018-10-17,0.271650,0.272700,0.266950,0.271650,0.271650,4283
2018-10-18,0.269500,0.272050,0.267850,0.269500,0.269500,3511
2018-10-19,0.269650,0.271050,0.268300,0.269650,0.269650,4267
2018-10-21,null,null,null,null,null,null
2018-10-22,0.271500,0.272350,0.268500,0.271500,0.271500,3053
